model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
F-B3: Boost Prec+Ratio ×5  n=5  scheme=log,45.4015,8,59.402,78.9813,55.5203,234,52.3077,52.0384,43.4297,68.749,60.6687,42.1778,49.4302,56.1456,43.9225,68.9179,60.1639,44.2461,46.5201,59.6806,43.794,68.9991,59.622,45.1957,43.6432,62.07,43.0944,68.7285,58.8974,45.3008,41.2631,63.8686,42.2808,68.4821,58.2486,45.2369,38.7179,65.7149,41.2004,68.357,57.7454,44.4444,36.519,67.4962,40.1594,68.4362,57.4607,43.5993,29.8291,71.1972,36.0416,68.8735,57.3553,39.8705,24.5299,75.0363,32.0844,69.9679,57.8983,35.7243
F-B3: Boost Prec+Ratio ×5  n=6  scheme=log,45.4015,8,59.2146,78.7339,55.4051,234,52.2222,51.6009,43.2276,68.4119,60.3914,42.1089,49.7151,56.7316,44.224,69.0285,60.2185,44.5011,46.5812,59.681,43.8347,68.8605,59.4915,45.255,43.6432,62.0664,43.0792,68.5777,58.7383,45.3008,41.2156,63.8287,42.2402,68.2918,58.0404,45.1848,38.7607,65.7809,41.2561,68.2287,57.5663,44.4935,36.4413,67.4471,40.0965,68.2301,57.2334,43.5065,29.8006,71.1444,35.9976,68.6886,57.1368,39.8324,24.5726,74.8959,32.0976,69.7897,57.7432,35.7865
E: Fact+Arg+Prec+Ratio  n=7  scheme=augmented,45.3492,7,58.7829,78.5845,54.4247,234,51.9658,50.7641,42.7445,68.152,60.3204,41.9021,49.2165,55.8401,43.6194,68.5882,59.8738,44.0548,46.5812,59.1613,43.7044,68.7176,59.3994,45.255,43.5897,61.6841,42.8984,68.4385,58.6081,45.2454,40.7882,63.5629,41.8696,68.0148,57.7187,44.7163,38.1197,64.7456,40.558,67.6604,57.036,43.7577,35.8974,65.8325,39.4128,67.5402,56.6687,42.8571,29.3732,69.4666,35.4352,67.9758,56.5617,39.2612,24.3162,73.8013,31.7785,69.2534,57.2141,35.4131
B3: Boost Precedent+Ratio ×5,45.2909,9,59.3823,79.0805,55.4569,234,52.6496,51.9016,43.6183,68.9169,61.0195,42.4535,49.0741,55.0522,43.4871,68.4986,59.9485,43.9273,46.2149,58.6884,43.4068,68.6413,59.4108,44.8992,43.4829,61.7051,42.8813,68.5733,58.7695,45.1345,41.2156,64.2369,42.2973,68.5537,58.2735,45.1848,38.5897,65.4738,41.0368,68.2394,57.6732,44.2973,36.519,67.4951,40.1555,68.4323,57.4482,43.5993,30.0855,71.8826,36.3686,69.1678,57.5162,40.2133,24.4231,74.9242,31.9606,69.8965,57.8153,35.5687
F-B3: Boost Prec+Ratio ×5  n=4  scheme=log,45.2909,9,59.3823,79.0805,55.4569,234,52.6496,51.9016,43.6183,68.9169,61.0195,42.4535,49.0741,55.0522,43.4871,68.4986,59.9485,43.9273,46.2149,58.6884,43.4068,68.6413,59.4108,44.8992,43.4829,61.7051,42.8813,68.5733,58.7695,45.1345,41.2156,64.2369,42.2973,68.5537,58.2735,45.1848,38.5897,65.4738,41.0368,68.2394,57.6732,44.2973,36.519,67.4951,40.1555,68.4323,57.4482,43.5993,30.0855,71.8826,36.3686,69.1678,57.5162,40.2133,24.4231,74.9242,31.9606,69.8965,57.8153,35.5687
B2: Boost Precedent+Ratio ×3,45.2904,8,59.8787,79.3451,56.4533,234,52.735,52.2605,43.7223,69.3798,61.518,42.5224,49.1453,55.294,43.5057,68.9484,60.5188,43.9911,46.337,58.7984,43.52,69.0512,60.0262,45.0178,43.5363,61.6859,42.8922,68.9291,59.3732,45.1899,40.9307,63.5391,42.0147,68.5713,58.5676,44.8725,38.547,65.2296,40.9655,68.4578,58.0929,44.2482,36.519,66.9511,40.0672,68.608,57.8815,43.5993,29.9715,71.9266,36.2818,69.4322,57.9232,40.0609,24.5299,75.2144,32.1126,70.3266,58.3615,35.7243
E: Fact+Arg+Prec+Ratio  n=7  scheme=log,45.2904,8,59.6268,79.2348,55.9645,234,52.3932,51.2673,43.062,69.2037,61.7264,42.2467,48.7179,54.5437,42.9673,68.7149,60.502,43.6085,45.8486,58.1694,43.0026,68.788,59.8292,44.5433,43.5363,61.2636,42.7927,68.9568,59.4211,45.1899,40.3609,62.9898,41.4043,68.3318,58.2917,44.2478,38.1624,65.2817,40.5832,68.4384,57.9188,43.8067,36.2082,66.9642,39.7853,68.5882,57.7925,43.2282,29.4587,70.4393,35.6111,68.9057,57.568,39.3755,24.1239,73.593,31.5844,69.7755,58.0061,35.133
F-B3: Boost Prec+Ratio ×5  n=7  scheme=log,45.2904,8,59.2738,78.6604,55.517,234,51.8803,51.579,43.1061,68.2736,60.2955,41.8332,49.2165,55.8965,43.7067,68.6291,59.9882,44.0548,46.337,59.3361,43.5772,68.7057,59.4291,45.0178,43.5363,61.9813,42.9855,68.5474,58.7042,45.1899,41.1681,63.9398,42.2425,68.344,58.1584,45.1327,38.4188,65.2063,40.9431,67.9763,57.4141,44.1011,36.5967,67.5942,40.2429,68.3711,57.3984,43.692,29.8006,71.167,36.0067,68.7393,57.2313,39.8324,24.5513,74.9302,32.0942,69.8254,57.802,35.7554
E: Fact+Arg+Prec+Ratio  n=4  scheme=augmented,45.2897,7,59.3144,78.8266,54.8501,234,52.906,52.0613,43.6936,69.1508,61.397,42.6602,49.7863,56.4669,44.2473,69.2285,60.6726,44.5649,46.5201,59.7967,43.8425,69.0852,59.8314,45.1957,43.4295,61.6008,42.7894,68.5791,58.8909,45.079,40.8832,63.7716,42.0469,68.3403,58.1769,44.8204,38.4615,65.2551,40.9652,68.1683,57.699,44.1501,36.4025,66.5199,39.9397,68.1883,57.4902,43.4601,29.4872,69.8193,35.5979,68.3927,57.161,39.4136,24.2735,73.2474,31.7095,69.3858,57.6857,35.3509
E: Fact+Arg+Prec+Ratio  n=6  scheme=log,45.2348,8,59.3852,78.9853,55.535,234,52.1368,51.1114,42.86,68.8898,61.2761,42.04,48.8604,54.5897,43.0489,68.6443,60.4062,43.7361,45.6044,57.6896,42.7013,68.4095,59.4269,44.306,43.4829,61.2708,42.7657,68.7774,59.1566,45.1345,40.6458,63.0816,41.6282,68.3189,58.2217,44.5601,38.0342,64.76,40.4293,68.0884,57.6079,43.6596,35.9751,66.2111,39.4747,68.1392,57.3803,42.9499,29.6866,70.9763,35.9126,68.9697,57.4861,39.6801,24.1667,73.6672,31.6371,69.6406,57.7994,35.1953
E: Fact+Arg+Prec+Ratio  n=7  scheme=binary,45.2348,8,58.4618,78.5505,54.3913,234,52.0513,51.2904,42.9375,68.3037,60.3336,41.9711,49.0741,55.3761,43.4754,68.3573,59.6581,43.9273,45.9096,58.1975,43.0625,68.1182,58.778,44.6026,43.4829,61.2552,42.7737,68.218,58.3445,45.1345,40.6933,63.1703,41.7809,67.7994,57.4861,44.6122,37.9915,64.1505,40.3682,67.3777,56.7876,43.6105,35.8974,65.5303,39.4131,67.3884,56.5037,42.8571,29.1738,69.1128,35.1869,67.6953,56.2319,38.9947,24.1026,73.0468,31.5137,68.8708,56.8581,35.1019
E: Fact+Arg+Prec+Ratio  n=6  scheme=augmented,45.2303,7,58.9204,78.221,54.8859,234,52.0513,51.3299,42.9653,68.341,60.5303,41.9711,49.359,56.1721,43.8522,68.7412,60.0419,44.1823,46.4591,59.3861,43.6492,68.7309,59.4739,45.1364,43.4295,61.5096,42.7627,68.325,58.5478,45.079,40.8357,63.7336,41.9776,68.0771,57.8155,44.7683,38.0769,64.6624,40.4953,67.6331,57.0887,43.7086,36.014,65.9695,39.5343,67.6337,56.826,42.9963,29.4587,69.7857,35.5623,68.1165,56.743,39.3755,24.3376,73.8478,31.8094,69.2942,57.3438,35.4442
E: Fact+Arg+Prec+Ratio  n=4  scheme=binary,45.1792,8,58.9089,78.8958,54.5143,234,52.8205,51.7781,43.5169,68.9983,61.1849,42.5913,49.4302,55.9868,43.8636,68.8914,60.2191,44.2461,46.2149,59.0516,43.4838,68.6837,59.397,44.8992,43.4295,61.5482,42.7655,68.4935,58.6903,45.079,40.5508,63.4519,41.7415,68.0336,57.7517,44.456,38.0342,64.7563,40.5185,67.7784,57.178,43.6596,36.1694,66.2908,39.7054,67.9494,57.1387,43.1818,29.2877,69.4208,35.3464,68.0987,56.7644,39.147,24.1026,73.1038,31.5263,69.1455,57.2912,35.1019
E: Fact+Arg+Prec+Ratio  n=6  scheme=binary,45.1792,8,58.217,77.9773,54.2623,234,52.1368,51.4331,43.0627,68.0927,60.0964,42.04,48.9316,55.3036,43.3634,68.0135,59.2858,43.7998,46.0317,58.2139,43.1329,67.9161,58.5913,44.7212,43.4295,61.2137,42.7373,67.9139,58.0082,45.079,40.7882,63.3731,41.9285,67.622,57.2597,44.7163,37.9487,64.1101,40.3198,67.0978,56.5007,43.5614,35.8197,65.3989,39.322,67.0612,56.1658,42.7644,29.2593,69.4652,35.333,67.5685,56.0123,39.1089,24.188,73.2408,31.6192,68.7093,56.6435,35.2264
F-B3: Boost Prec+Ratio ×5  n=8  scheme=log,45.1792,8,58.9696,78.8962,54.3165,234,51.8803,51.5113,43.0395,68.1362,60.0978,41.8332,49.2165,55.9491,43.7395,68.5045,59.6755,44.0548,46.337,59.2926,43.5524,68.5725,59.1498,45.0178,43.4295,61.6577,42.8198,68.2949,58.3574,45.079,40.8832,63.726,42.0024,68.0405,57.7066,44.8204,38.3761,65.1744,40.9064,67.8252,57.1558,44.052,36.6356,67.2578,40.2479,68.1854,57.153,43.7384,29.6581,71.059,35.8726,68.5197,56.8854,39.642,24.4017,74.6499,31.9035,69.5503,57.4291,35.5376
B8: Boost Argument+Precedent+Ratio ×2,45.1709,7,61.0322,80.4003,58.0285,234,52.9915,52.213,43.8239,70.3184,62.8816,42.7292,49.4302,55.2956,43.6022,69.9271,61.9097,44.2461,46.398,58.6437,43.4739,69.8685,61.3285,45.0771,43.3226,60.7931,42.6606,69.4029,60.28,44.9681,41.0731,63.6182,42.1586,69.4374,59.7785,45.0286,38.6325,65.4768,41.1159,69.3632,59.353,44.3463,36.1694,66.9702,39.8058,69.2583,58.8449,43.1818,29.9145,71.6186,36.205,70.1301,59.018,39.9848,24.5085,75.1527,32.1137,71.1129,59.5269,35.6932
E: Fact+Arg+Prec+Ratio  n=3  scheme=augmented,45.1709,7,59.4969,79.5064,55.6298,234,52.906,52.3478,43.6882,69.5764,61.823,42.6602,49.4302,56.2423,43.9544,69.335,60.8396,44.2461,46.398,59.1702,43.6017,69.2033,60.154,45.0771,43.3226,61.0963,42.6307,68.7116,59.1351,44.9681,40.7407,63.5871,41.8766,68.5345,58.4238,44.6642,38.3333,65.1408,40.8231,68.3857,57.9673,44.0029,36.2082,66.428,39.826,68.3491,57.6757,43.2282,29.3732,70.1141,35.5196,68.676,57.3524,39.2612,24.1239,73.1955,31.5792,69.5721,57.8521,35.133
E: Fact+Arg+Prec+Ratio  n=5  scheme=binary,45.1709,7,58.4109,77.8628,54.4143,234,52.2222,51.3984,43.0786,68.195,60.4062,42.1089,49.1453,55.4148,43.5491,68.1867,59.542,43.9911,46.398,58.9935,43.5668,68.3307,59.0353,45.0771,43.2158,61.0164,42.5493,67.8332,58.0229,44.8572,40.5508,62.9493,41.6577,67.4739,57.2486,44.456,38.0342,64.2716,40.4441,67.2248,56.7026,43.6596,35.9363,65.8302,39.4289,67.2803,56.464,42.9035,29.2308,69.4041,35.2872,67.6272,56.1923,39.0708,24.1026,73.0813,31.5132,68.7028,56.7646,35.1019
E: Fact+Arg+Prec+Ratio  n=8  scheme=augmented,45.1709,7,58.6945,78.5639,54.3275,234,51.5385,50.2513,42.3304,67.8256,60.0246,41.5575,49.0028,54.8952,43.2924,68.2266,59.672,43.8636,46.398,59.203,43.6146,68.6117,59.2143,45.0771,43.3761,61.4182,42.7443,68.2486,58.4473,45.0236,40.8357,63.6516,41.9327,68.0223,57.7343,44.7683,37.9915,64.574,40.417,67.5271,56.8913,43.6105,35.8197,65.7487,39.3305,67.451,56.5513,42.7644,29.3732,69.4271,35.4154,67.9317,56.4847,39.2612,24.1667,73.5102,31.5956,69.0694,57.0308,35.1953
F-B3: Boost Prec+Ratio ×5  n=3  scheme=log,45.1709,7,58.8326,78.914,54.7072,234,52.3077,51.929,43.5167,68.5501,60.4514,42.1778,48.8604,54.9302,43.304,68.1879,59.5096,43.7361,46.398,58.9349,43.5541,68.6178,59.3117,45.0771,43.3226,61.0445,42.6948,68.1501,58.3844,44.9681,40.6458,63.7967,41.8054,67.9855,57.5644,44.5601,38.0769,65.0601,40.5653,67.6999,56.9346,43.7086,35.9751,66.8378,39.597,67.8154,56.7304,42.9499,29.886,72.1526,36.2095,68.8785,56.9489,39.9467,24.2308,74.8052,31.7666,69.5211,57.2346,35.2886
F-B8: Boost Arg+Prec+Ratio ×2  n=4  scheme=log,45.1709,7,61.0322,80.4003,58.0285,234,52.9915,52.213,43.8239,70.3184,62.8816,42.7292,49.4302,55.2956,43.6022,69.9271,61.9097,44.2461,46.398,58.6437,43.4739,69.8685,61.3285,45.0771,43.3226,60.7931,42.6606,69.4029,60.28,44.9681,41.0731,63.6182,42.1586,69.4374,59.7785,45.0286,38.6325,65.4768,41.1159,69.3632,59.353,44.3463,36.1694,66.9702,39.8058,69.2583,58.8449,43.1818,29.9145,71.6186,36.205,70.1301,59.018,39.9848,24.5085,75.1527,32.1137,71.1129,59.5269,35.6932
E: Fact+Arg+Prec+Ratio  n=5  scheme=log,45.1236,8,59.3292,79.0649,55.5635,234,52.1368,51.0418,42.827,68.853,61.2587,42.04,49.1453,55.0365,43.3516,68.8824,60.6053,43.9911,45.7875,58.2298,42.9167,68.628,59.5917,44.484,43.3761,61.1935,42.675,68.7053,59.0545,45.0236,40.3609,62.4899,41.371,68.0181,57.9742,44.2478,38.0769,64.8639,40.4935,68.1139,57.6078,43.7086,35.9363,66.2523,39.4759,68.1084,57.3393,42.9035,29.5157,70.752,35.7054,68.8112,57.3178,39.4516,23.9957,73.3328,31.4277,69.4492,57.6287,34.9463
F-B8: Boost Arg+Prec+Ratio ×2  n=3  scheme=log,45.1236,8,60.4012,79.913,57.0343,234,52.4786,51.9475,43.4578,69.7067,62.1755,42.3156,48.9316,54.9382,43.188,69.2995,61.1638,43.7998,46.1538,58.5684,43.3238,69.4259,60.6512,44.8399,43.3761,61.0616,42.7763,69.1816,59.8927,45.0236,40.9782,63.488,42.112,69.0634,59.3162,44.9245,38.4615,65.4668,40.9514,68.9868,58.7325,44.1501,36.4025,67.6369,40.0899,69.2309,58.5492,43.4601,29.6581,71.4446,35.9803,69.6571,58.3463,39.642,24.188,74.2716,31.7259,70.4238,58.7583,35.2264
E: Fact+Arg+Prec+Ratio  n=8  scheme=binary,45.0681,8,58.1545,78.0204,54.2369,234,51.453,50.279,42.2894,67.5501,59.6453,41.4886,49.1453,55.3198,43.45,68.1683,59.5183,43.9911,45.9096,58.3685,43.1072,67.9409,58.569,44.6026,43.3226,61.2675,42.6586,67.931,58.0612,44.9681,40.5983,63.0433,41.6763,67.5023,57.2273,44.5081,37.8205,63.996,40.2082,67.0402,56.4211,43.4143,35.6643,65.1991,39.1422,66.9759,56.0996,42.5788,29.1453,69.0535,35.1487,67.4256,55.9104,38.9566,24.0171,72.8691,31.3995,68.5456,56.506,34.9774
F-B8: Boost Arg+Prec+Ratio ×2  n=7  scheme=augmented,45.0681,8,59.4917,78.9523,54.803,234,51.5385,50.8852,42.5888,68.2793,60.4506,41.5575,48.7179,55.6004,43.2332,68.6069,60.0774,43.6085,45.8486,58.873,43.1506,68.5968,59.4404,44.5433,43.3226,62.1277,42.8302,68.7046,58.9096,44.9681,40.4084,63.6097,41.6044,68.1253,57.8948,44.2998,38.2906,65.2291,40.7766,68.1243,57.6195,43.9539,36.2859,66.8894,39.9334,68.2632,57.491,43.321,29.4302,70.6849,35.6496,68.6219,57.1999,39.3374,24.2308,73.8912,31.7418,69.5814,57.7267,35.2886
F-B8: Boost Arg+Prec+Ratio ×2  n=7  scheme=binary,45.0125,8,59.1634,78.9398,54.5673,234,51.453,50.7427,42.482,68.1515,60.304,41.4886,48.6467,54.8677,43.0795,68.313,59.8536,43.5448,45.5433,57.7801,42.7315,68.1021,59.0341,44.2467,43.2692,61.6379,42.711,68.4571,58.6625,44.9127,40.2659,63.161,41.4434,67.8537,57.6,44.1437,38.2479,65.3074,40.7693,68.0224,57.4277,43.9048,36.2082,66.6401,39.8154,68.0561,57.2504,43.2282,29.3162,70.5242,35.5195,68.4225,56.9641,39.1851,24.0598,73.4039,31.5029,69.2536,57.404,35.0397
B1: Boost Precedent+Ratio ×2,44.9569,8,60.0421,79.6756,56.1929,234,52.8205,52.3352,43.8059,69.7005,61.9418,42.5913,49.0741,55.1171,43.361,69.1407,60.82,43.9273,45.7875,58.2763,43.0238,68.902,60.0052,44.484,43.2158,61.115,42.5968,68.8505,59.3451,44.8572,40.8832,63.63,41.9907,68.7714,58.7704,44.8204,38.3761,65.5029,40.9028,68.6567,58.1898,44.052,36.4413,66.9425,40.0288,68.7595,58.031,43.5065,29.7436,71.2397,35.981,69.332,57.9014,39.7563,24.4658,75.3159,32.0786,70.508,58.4997,35.6309
B6: Boost Fact+Precedent+Ratio ×2,44.9569,8,59.546,79.2989,55.2825,234,52.3932,51.998,43.3695,69.132,61.2439,42.2467,49.2877,55.7543,43.6245,69.1186,60.563,44.1186,45.7875,58.954,43.098,68.816,59.5737,44.484,43.2158,61.3319,42.5882,68.6485,58.9527,44.8572,40.5508,63.5997,41.6982,68.3653,58.1599,44.456,38.2479,65.8319,40.8137,68.4267,57.7725,43.9048,36.3248,67.2298,39.9196,68.529,57.5793,43.3673,29.8006,71.4988,36.076,69.1684,57.5137,39.8324,24.188,74.5356,31.7248,69.9065,57.8247,35.2264
B7: Boost Fact+Precedent+Ratio ×3,44.9569,8,59.5408,79.5505,55.032,234,52.4786,52.2592,43.4715,69.2807,61.254,42.3156,49.2165,55.8032,43.6172,69.1235,60.4962,44.0548,45.8486,59.0381,43.1556,68.8929,59.598,44.5433,43.2158,61.4703,42.6288,68.7126,58.9808,44.8572,40.6933,63.8296,41.8373,68.5289,58.2751,44.6122,38.3761,65.84,40.9009,68.5239,57.8615,44.052,36.1694,67.1346,39.7749,68.4772,57.495,43.1818,29.8291,71.4414,36.1104,69.1976,57.5454,39.8705,24.2094,74.5211,31.7349,69.932,57.8274,35.2575
E: Fact+Arg+Prec+Ratio  n=3  scheme=binary,44.9569,8,59.0961,79.3208,55.1058,234,52.8205,51.6135,43.4952,69.2121,61.6022,42.5913,49.2877,55.861,43.8152,69.044,60.5027,44.1186,46.1538,58.6145,43.3475,68.8156,59.7249,44.8399,43.2158,61.0043,42.5338,68.5004,58.863,44.8572,40.6933,63.6045,41.8652,68.3688,58.1968,44.6122,38.2051,65.0374,40.7079,68.1647,57.6908,43.8558,36.014,66.2079,39.6204,68.0685,57.3425,42.9963,29.2023,69.4494,35.3048,68.2924,56.9902,39.0327,23.8462,72.681,31.2317,69.1365,57.3753,34.7285
E: Fact+Arg+Prec+Ratio  n=9  scheme=augmented,44.9569,8,58.1827,77.7339,53.8453,234,51.3675,50.1757,42.2259,67.3368,59.4766,41.4197,48.7892,54.7344,43.1043,67.709,59.1319,43.6723,45.9096,58.3298,43.0675,67.794,58.4681,44.6026,43.2158,61.2441,42.5872,67.7312,57.8813,44.8572,40.7407,63.5483,41.8332,67.5563,57.2101,44.6642,37.906,64.4937,40.3349,67.0676,56.3811,43.5124,35.7032,65.6102,39.2051,66.962,56.0002,42.6252,29.2877,69.3331,35.3237,67.4652,55.9433,39.147,24.1667,73.5286,31.5988,68.6693,56.5386,35.1953
