model,_micro_f1,_micro_k,MAP,MRR,R-Precision,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=10  scheme=log,44.1789,8,57.4535,78.0305,54.0657,51.2821,49.5173,41.9338,67.2972,59.4741,41.3508,47.7208,53.2322,42.0725,66.8986,58.2858,42.716,44.9939,57.4298,42.132,67.1966,57.8086,43.7129,42.4679,60.1215,41.6986,67.1281,57.1174,44.081,39.8386,62.4049,40.855,66.8445,56.304,43.6752,37.3932,63.6888,39.7469,66.5671,55.6859,42.9237,35.1981,64.8171,38.6149,66.4622,55.3074,42.0223,28.8889,69.3527,34.9131,67.1866,55.3408,38.6139,23.7393,72.4782,31.042,68.086,55.8157,34.5729
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=8  scheme=log,44.1234,8,57.3992,78.3139,53.8548,51.453,49.7049,42.0985,67.4072,59.5077,41.4886,47.9345,53.2684,42.1713,67.0086,58.3149,42.9072,44.9328,56.9442,41.9954,67.0313,57.6631,43.6536,42.4145,60.0997,41.6598,67.0757,57.035,44.0255,39.981,62.4358,40.9541,66.8831,56.2852,43.8313,37.3504,63.693,39.6916,66.5392,55.5599,42.8747,35.3924,65.1063,38.8169,66.6042,55.4087,42.2542,29.0313,69.6935,35.1,67.327,55.3874,38.8043,23.6966,72.4574,30.9987,68.0485,55.7215,34.5107
Baseline TF-IDF (orig docs),44.0908,9,59.0602,79.6009,54.7933,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=6  scheme=log,44.0678,8,57.3926,78.8157,53.2601,51.1966,49.4896,41.8784,67.3889,59.4004,41.2819,47.792,52.9201,42.0076,67.0054,58.3771,42.7797,44.6886,56.37,41.7023,66.9069,57.521,43.4164,42.3611,59.9146,41.6038,67.1436,57.0229,43.9701,39.6961,62.4267,40.7981,66.8614,56.1224,43.519,37.3077,63.7441,39.688,66.6411,55.578,42.8256,35.237,65.0424,38.6909,66.631,55.3276,42.0686,28.9459,69.549,35.0344,67.3525,55.3302,38.69,23.6966,72.7097,31.0511,68.2202,55.7465,34.5107
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=3  scheme=binary,44.0416,7,57.1256,78.2077,53.3178,52.3932,50.7716,43.0533,67.8743,59.9552,42.2467,48.5043,54.2314,42.9289,67.3327,58.5538,43.4173,45.2381,57.3308,42.5079,67.0886,57.6349,43.9502,42.3077,60.0955,41.7249,66.8637,56.7424,43.9146,39.886,62.6437,41.0519,66.7449,56.0649,43.7272,37.5214,64.8658,40.0834,66.7666,55.6362,43.0709,35.4701,66.2127,39.0469,66.8088,55.4081,42.3469,28.8604,69.7576,34.9554,67.1613,55.1501,38.5758,23.6325,72.9247,31.0168,68.0371,55.5629,34.4173
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=5  scheme=log,43.9011,8,57.0581,78.7819,53.2711,51.2821,49.5445,41.9339,67.2143,59.1185,41.3508,47.8632,52.8884,42.0121,66.8327,58.1453,42.8435,44.9328,56.5578,41.9115,66.8696,57.4122,43.6536,42.2009,59.9466,41.5591,66.8749,56.6711,43.8037,39.5062,62.2312,40.6013,66.5442,55.7632,43.3108,37.1795,63.6782,39.5994,66.3704,55.2506,42.6784,35.1593,64.9432,38.6103,66.3753,54.9713,41.9759,29.0598,69.8089,35.1565,67.2637,55.0915,38.8423,23.6111,72.72,30.951,67.9742,55.3775,34.3862
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=7  scheme=log,43.9011,8,57.4211,78.8179,53.4646,51.1966,49.502,41.8808,67.3499,59.3406,41.2819,47.792,53.1729,42.0533,67.0283,58.3019,42.7797,44.7497,56.3936,41.7832,66.8961,57.4794,43.4757,42.2009,60.031,41.4856,67.0594,56.8519,43.8037,39.8386,62.2216,40.7927,66.8469,56.175,43.6752,37.2222,64.0437,39.6401,66.6549,55.4825,42.7275,35.4701,65.6519,38.9455,66.8605,55.4301,42.3469,29.0598,69.7715,35.1523,67.4587,55.403,38.8423,23.7393,72.5443,31.0609,68.1957,55.7817,34.5729
H-grid: TF-IDF-F Prec×3 Ratio×2 Fact×1 Arg×1,43.8455,8,56.5111,78.5246,51.8559,51.6239,49.4681,42.0869,67.107,58.9504,41.6265,47.6496,53.0484,41.8617,66.5673,57.557,42.6522,44.3834,56.4583,41.5835,66.3696,56.6689,43.1198,42.1474,59.8607,41.5192,66.5926,56.2097,43.7483,39.2213,61.165,40.2405,65.9227,55.1242,42.9984,37.094,63.1117,39.4242,65.9725,54.803,42.5803,34.8096,64.248,38.2054,65.8283,54.3539,41.5584,28.9459,69.3421,35.0072,66.8677,54.505,38.69,23.3333,72.3149,30.6214,67.4784,54.6949,33.9816
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=4  scheme=log,43.8455,8,56.5111,78.5246,51.8559,51.6239,49.4681,42.0869,67.107,58.9504,41.6265,47.6496,53.0484,41.8617,66.5673,57.557,42.6522,44.3834,56.4583,41.5835,66.3696,56.6689,43.1198,42.1474,59.8607,41.5192,66.5926,56.2097,43.7483,39.2213,61.165,40.2405,65.9227,55.1242,42.9984,37.094,63.1117,39.4242,65.9725,54.803,42.5803,34.8096,64.248,38.2054,65.8283,54.3539,41.5584,28.9459,69.3421,35.0072,66.8677,54.505,38.69,23.3333,72.3149,30.6214,67.4784,54.6949,33.9816
H-grid: TF-IDF-F Prec×1 Ratio×2 Fact×1 Arg×1,43.7899,8,58.5245,80.4518,54.4723,51.453,50.7869,42.4252,68.7406,60.7995,41.4886,47.792,53.87,42.2441,68.2076,59.63,42.7797,44.3834,57.6267,41.8399,68.0853,58.5546,43.1198,42.094,60.5124,41.5518,68.1466,58.0168,43.6928,39.5062,62.4564,40.6459,67.8057,57.2035,43.3108,37.265,64.1296,39.7134,67.7492,56.8386,42.7766,35.3535,65.6503,38.8632,67.8773,56.6781,42.2078,28.6895,69.1784,34.7416,68.179,56.3957,38.3473,23.547,72.8656,30.9061,69.1824,56.845,34.2928
H-grid: TF-IDF-F Prec×2 Ratio×3 Fact×1 Arg×1,43.7899,8,58.205,80.0174,54.8543,51.2821,50.3196,42.1718,68.3532,60.4731,41.3508,47.792,54.0448,42.2246,68.0874,59.4071,42.7797,44.2613,57.4057,41.6262,67.7859,58.2574,43.0012,42.094,60.4453,41.4956,67.9496,57.8109,43.6928,39.6961,62.5301,40.8123,67.7119,57.1535,43.519,37.1368,63.7157,39.5744,67.3789,56.5054,42.6294,35.1593,65.4325,38.6883,67.5298,56.3336,41.9759,28.8034,69.5651,34.8868,68.1041,56.169,38.4996,23.3974,72.4347,30.7234,68.7912,56.4465,34.075
H2: TF-IDF-F Prec×2 + Ratio×2 + rest×1 (all 7 roles),43.6788,8,57.5626,78.1997,54.6498,51.5385,51.2569,42.6535,67.8425,59.6066,41.5575,47.9345,54.5984,42.5869,67.4304,58.5589,42.9072,44.8107,57.4709,42.1205,67.2536,57.6732,43.535,41.9872,60.1013,41.4375,67.0281,56.8827,43.5819,39.4587,62.9943,40.7558,66.9492,56.1591,43.2587,37.3504,64.4397,39.8523,66.8906,55.8644,42.8747,35.1981,65.7349,38.7654,66.8713,55.5748,42.0223,28.8319,69.9568,35.0075,67.4967,55.4962,38.5377,23.2692,72.2635,30.5838,67.9903,55.6558,33.8883
H-grid: TF-IDF-F Prec×2 Ratio×2 Fact×1 Arg×1,43.6788,8,57.501,79.2619,53.5133,51.3675,50.2923,42.1484,67.8248,59.7067,41.4197,47.8632,53.8291,42.2669,67.4716,58.6552,42.8435,44.6276,56.7799,41.8177,67.2157,57.7028,43.3571,41.9872,59.7138,41.3597,67.1402,56.9352,43.5819,39.6011,62.4151,40.7279,67.0564,56.3103,43.4149,37.2222,64.0447,39.6999,66.9248,55.821,42.7275,35.237,65.4728,38.7697,66.9801,55.5956,42.0686,28.8034,69.201,34.8831,67.4445,55.404,38.4996,23.4188,72.5708,30.7513,68.264,55.7284,34.1061
H-grid: TF-IDF-F Prec×2 Ratio×1 Fact×1 Arg×1,43.6232,8,56.4556,77.2002,52.0732,51.5385,49.835,42.0981,66.952,58.9031,41.5575,47.5071,53.1708,41.733,66.3364,57.4729,42.5247,44.2002,55.9962,41.333,65.9542,56.4771,42.9419,41.9338,59.2866,41.2962,66.1256,56.0046,43.5265,39.2213,60.7767,40.212,65.6115,55.1047,42.9984,36.8803,62.2309,39.1756,65.4475,54.5779,42.3351,34.7319,64.3699,38.2113,65.5934,54.2868,41.4657,28.7749,69.1114,34.8162,66.5151,54.4272,38.4615,23.2906,72.0327,30.5476,67.153,54.6079,33.9194
H3: TF-IDF-F Prec×3 + Ratio×3 + Fact×1 + Arg×1 (4 roles),43.5121,8,56.5146,78.2161,52.2329,51.0256,49.9643,41.8658,66.9295,58.6243,41.144,47.7208,53.7559,42.172,66.7201,57.639,42.716,44.3834,56.9605,41.6846,66.4856,56.6851,43.1198,41.8269,59.3005,41.128,66.2967,55.9557,43.4156,39.5062,62.0536,40.6034,66.2529,55.3352,43.3108,37.2222,63.808,39.6312,66.1789,54.8968,42.7275,35.1593,65.3132,38.6719,66.2281,54.6523,41.9759,28.8319,69.6065,34.9193,66.861,54.525,38.5377,23.2906,72.3108,30.5914,67.4515,54.7057,33.9194
H-grid: TF-IDF-F Prec×1 Ratio×1 Fact×1 Arg×1,43.5121,8,57.4634,78.8027,52.8783,51.1966,50.2908,42.0393,67.7365,59.8324,41.2819,47.2222,53.1669,41.6007,67.0232,58.3887,42.2697,44.5055,56.8964,41.7058,67.1737,57.7603,43.2384,41.8269,59.9594,41.2746,67.109,56.9939,43.4156,39.4112,61.7579,40.471,66.7969,56.2483,43.2067,36.9231,63.2436,39.3494,66.5728,55.6584,42.3841,34.8873,64.4011,38.315,66.5453,55.4295,41.6512,28.7179,69.2227,34.76,67.3807,55.4353,38.3854,23.2051,72.0194,30.4495,67.9653,55.5967,33.7949
H-grid: TF-IDF-F Prec×3 Ratio×3 Fact×1 Arg×1,43.5121,8,56.5146,78.2161,52.2329,51.0256,49.9643,41.8658,66.9295,58.6243,41.144,47.7208,53.7559,42.172,66.7201,57.639,42.716,44.3834,56.9605,41.6846,66.4856,56.6851,43.1198,41.8269,59.3005,41.128,66.2967,55.9557,43.4156,39.5062,62.0536,40.6034,66.2529,55.3352,43.3108,37.2222,63.808,39.6312,66.1789,54.8968,42.7275,35.1593,65.3132,38.6719,66.2281,54.6523,41.9759,28.8319,69.6065,34.9193,66.861,54.525,38.5377,23.2906,72.3108,30.5914,67.4515,54.7057,33.9194
H-grid: TF-IDF-F Prec×1 Ratio×3 Fact×1 Arg×1,43.3878,7,58.5435,80.5672,55.2219,51.3675,50.9324,42.3676,68.8142,60.8663,41.4197,47.9345,54.3171,42.4497,68.449,59.759,42.9072,44.5665,57.5367,41.9372,68.2143,58.7619,43.2977,41.6667,59.7842,41.0443,67.847,57.7804,43.2492,39.3637,62.2458,40.5131,67.7425,57.1817,43.1546,37.3077,64.1785,39.7626,67.8269,56.9401,42.8256,35.1204,65.3069,38.6259,67.7346,56.5741,41.9295,28.7464,69.7637,34.8714,68.3782,56.5002,38.4235,23.4829,72.4342,30.7641,69.0824,56.8539,34.1995
H4: TF-IDF-F Prec×5 + Ratio×3 + Fact×1 + Arg×1,43.2898,8,56.133,78.604,51.3136,51.1966,49.1886,41.7119,66.8367,58.5299,41.2819,47.2222,52.8593,41.6285,66.2311,56.9881,42.2697,44.2613,55.7685,41.3903,66.0344,56.2975,43.0012,41.6132,58.9822,40.9838,66.0279,55.6312,43.1938,39.0788,60.6517,40.0709,65.6165,54.8128,42.8423,36.7094,62.2775,39.0098,65.4659,54.3102,42.1388,34.7708,63.902,38.2198,65.5764,54.0428,41.5121,28.7749,69.1646,34.8207,66.5909,54.1185,38.4615,23.3761,72.1893,30.6782,67.3194,54.4446,34.0439
H-grid: TF-IDF-F Prec×5 Ratio×3 Fact×1 Arg×1,43.2898,8,56.133,78.604,51.3136,51.1966,49.1886,41.7119,66.8367,58.5299,41.2819,47.2222,52.8593,41.6285,66.2311,56.9881,42.2697,44.2613,55.7685,41.3903,66.0344,56.2975,43.0012,41.6132,58.9822,40.9838,66.0279,55.6312,43.1938,39.0788,60.6517,40.0709,65.6165,54.8128,42.8423,36.7094,62.2775,39.0098,65.4659,54.3102,42.1388,34.7708,63.902,38.2198,65.5764,54.0428,41.5121,28.7749,69.1646,34.8207,66.5909,54.1185,38.4615,23.3761,72.1893,30.6782,67.3194,54.4446,34.0439
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=2  scheme=augmented,43.0675,8,55.3388,78.0582,50.7856,50.9402,49.8994,41.9293,66.6421,58.2031,41.0751,47.2222,53.8648,42.0566,66.2807,56.9778,42.2697,44.0171,56.7525,41.5543,66.0042,56.1299,42.7639,41.3996,59.1808,40.9871,65.8118,55.4604,42.972,38.5565,60.6171,39.7229,65.2298,54.424,42.2697,36.1538,62.3429,38.6787,65.0769,53.8454,41.5011,33.8772,63.6324,37.4448,64.9498,53.3724,40.4453,27.6638,67.5587,33.6059,65.4813,53.2202,36.9764,22.5855,70.6108,29.7113,66.2839,53.4793,32.8925
H1: TF-IDF-F equal weights (all 7 roles),43.0312,7,57.3321,79.0285,52.9867,50.8547,50.7007,42.0613,67.598,59.4417,41.0062,47.2222,54.0638,41.8302,67.2037,58.2193,42.2697,44.2002,57.4054,41.6131,67.1431,57.4379,42.9419,41.2927,59.7217,40.9018,66.7496,56.4541,42.8611,38.9364,61.9145,40.1611,66.562,55.7811,42.6861,37.0513,64.3157,39.628,66.8261,55.6772,42.5313,34.7708,65.3756,38.3814,66.6764,55.2849,41.5121,28.433,69.3671,34.5595,67.2266,55.1709,38.0046,23.0983,72.3132,30.4436,67.9521,55.3811,33.6393
H-ngram: TF-IDF-F Prec×3+Rati×2+Fact×1+Argu×1  n=3  scheme=log,43.0119,8,55.6096,78.0783,51.4088,50.8547,49.253,41.554,66.3644,57.8746,41.0062,46.5812,52.27,41.0424,65.5255,56.3084,41.6959,43.5897,55.2737,40.8417,65.3162,55.4642,42.3488,41.3462,58.6909,40.8489,65.5237,55.0049,42.9166,38.7464,60.2669,39.8454,65.0649,54.0981,42.4779,36.6239,62.4288,39.1042,65.1628,53.7662,42.0407,34.6154,64.6138,38.2138,65.3984,53.5382,41.3265,28.4615,68.8558,34.4992,66.0928,53.4974,38.0427,23.1197,72.094,30.4016,66.8595,53.8169,33.6705
H-grid: TF-IDF-F Prec×3 Ratio×1 Fact×1 Arg×1,42.9564,8,55.6776,76.9428,51.6802,50.5983,48.8157,41.2915,65.9204,57.6741,40.7994,46.9373,51.7993,41.0719,65.3538,56.4068,42.0147,44.0781,55.3006,41.0989,65.3247,55.7688,42.8233,41.2927,57.8006,40.5467,65.0335,54.8526,42.8611,38.9364,60.5538,39.9844,64.9973,54.2625,42.6861,36.6239,62.3533,39.0107,64.9097,53.7611,42.0407,34.3434,63.439,37.7954,64.7578,53.3303,41.0019,28.5755,68.0747,34.4999,65.6975,53.5901,38.195,23.3547,71.7299,30.6108,66.6422,53.9576,34.0128
